comment
[]
"['试着', '分散', '注意力', '喔', '加油', '奥']"
"['恋人', '不想', '遗憾', '娶', '眼红', '自私', '永远', '甘心', '做', '朋友']"
['真的']
"['罢', '东西', '失去', '希望', '加油']"
['酸']
"['养只', '小猫', '名为', '壹', '月', '纪念', '相识', '月']"
"['变', '指望', '永远', '如初', '感觉', '不似', '从前', '忍不住', '偷偷', '难过', '久']"
"['高考', '天', '加油']"
"['喜欢', '精神', '内耗', '真的', '好烂', '做', '不好', '越来越', '开心', '长大', '代价', '失去', '快乐', '不想', '长大', '不想', '烦恼', '真的', '羡慕', '无忧无虑', '公园', '里', '玩', '小孩子']"
"['恋人', '永远', '爱']"
"['变得', '更好']"
['这题']
"['年', '月', '发生', '事情', '说', '玩', '蛋', '仔', '派对', '说好', '玩', '地图', '找', '不到', '终点', '说', '玩', '说好', '微信', '说', '舒服', '想', '吐', '说', '玩', '再也', '不玩', '舒服', '想', '问题', '问题']"
['想']
"['眼睛', '示意', '喜欢']"
"['记得', '做', '勇敢的人']"
[]
['吉言']
['吉言']
['早起']
"['早睡', '两个', '小时', '错过', '重要', '消息']"
"['换', '流程']"
['早']
"['珍惜', '明天']"
"['加油', '姐姐']"
"['想', '太过分', '喜欢', '秒', '回', '消息', '下意识', '惦记', '喜欢', '忽冷忽热', '态度', '讨厌', '流泪', '眼睛', '讨厌', '乱糟糟', '世界', '我活', '目光', '里', '讨厌', '做', '不好']"
"['升高', '三', '迷茫']"
[]
"['两手', '指向', '滑', '发现', '神奇', '一幕']"
"['做', '憨笑']"
"['青春', '伤痕']"
"['好像', '站']"
"['青春', '祝好', '再见']"
"['地球', '一盏', '灯火', '总以为', '自已', '有用', '算了', '亮过', '谈', '熄灭']"
"['总会', '时间', '问题', '相信']"
"['看山', '看海为', '未来']"
"['脸上', '长痘', '活该', '骂', '猴', '痘']"
"['找', '不到', '意义']"
['活着']
"['真的', '天生', '天生', '吃不胖', '喝水', '胖', '流泪']"
[]
"['活着', '意义']"
[]
"['说', '说', '试试']"
['勇敢']
"['钟表', '回到', '起点', '昨天']"
['疑问']
"['钟表', '回到', '起点', '昨天']"
"['不太好', '释然']"
['原唱']
[]
"['解答', '疑问']"
"['伤痛', '早就', '哭']"
['熬夜']
"['早点', '休息', '控制', '饮食', '减少', '碳水', '摄入', '有氧', '训练', '平台', '期在', '有氧', '训练', '力量', '训练', '呲', '牙']"
"['说', '开心', '重要', '说', '重要']"
"['希望', '瘦瘦的', '希望', '好好', '吃饭', '好好', '睡觉', '坏', '心情', '无关']"
"['有空', '听听', '林俊杰', '达尔文', '叭', '青春', '伤痕']"
['动态']
"['永远', '真诚', '永远', '简单', '生活', '发光']"
"['减肥', '减肥', '疯', '发疯']"
"['真心', '找个', '男友']"
"['青春', '秒']"
